codigo,descripcion,tarifa1
650083840,MARCO PUERTA ROTURA_INOX++,0
650083825,PILASTRA PUERTA ROTURA_INOX++,0
650083815,CANTONERA ABISAG.ROTURA_INOX,0
650083809,INVERSOR ROTURA_INOX++,0
650083808,PILASTRA VENTANA ROTURA_INOX++,0
650083804,HOJA VENTANA ROTURA_INOX++,0
650083803,MARCO SOLAPE ROTURA_INOX++,0
650083801,MARCO VENTANA ROTURA_INOX++,0
650074376,FORRAMARCO 36mm.DISE�O_LMD++,0
650073842,HOJA PTA.APER.EXT.ROTURA_LMD++,0
650073841,HOJA PUERTA ROTURA_LMD++,0
650073840,MARCO PUERTA ROTURA_LMD++,0
650073825,PILASTRA PUERTA ROTURA_LMD++,0
650073814,FORRAMARCO 45mm.DISE�O_LMD++,0
650073811,UNION MARCOS 50mm.ROTURA_LMD,0
650073809,INVERSOR ROTURA_LMD++,0
650073808,PILASTRA VENTANA ROTURA_LMD++,0
650073804,HOJA VENTANA ROTURA_LMD++,0
650073803,MARCO SOLAPE ROTURA_LMD++,0
650073801,MARCO VENTANA ROTURA_LMD++,0
650064376,FORRAMARCO 36mm.DISE�O_LC1++,0
650063843,ZOCALO CENTRAL 140mm_LC1++,0
650063842,HOJA PTA.APER.EXT.ROTURA_LC1++,0
650063841,HOJA PUERTA ROTURA_LC1++,0
650063840,MARCO PUERTA ROTURA_LC1++,0
650063825,PILASTRA PUERTA ROTURA_LC1++,0
650063811,UNION MARCOS 50mm.ROTURA_LC1,0
650063809,INVERSOR ROTURA_LC1++,0
650063808,PILASTRA VENTANA ROTURA_LC1++,0
650063804,HOJA VENTANA ROTURA_LC1++,0
650063803,MARCO SOLAPE ROTURA_LC1++,0
650063801,MARCO VENTANA ROTURA_LC1++,0
650054376,FORRAMARCO 36mm.DISE�O_LBN++,0
650053842,HOJA PTA.APER.EXT.ROTURA_LBN++,0
650053841,HOJA PUERTA ROTURA_LBN++,0
650053840,MARCO PUERTA ROTURA_LBN++,0
650053825,PILASTRA PUERTA ROTURA_LBN++,0
650053815,CANTONERA ABISAG.ROTURA_LBN,0
650053814,FORRAMARCO 45mm.DISE�O_LBN++,0
650053812,HOJA VENTANA S/JUNQ.ROTURA_LBN++,0
650053811,UNION MARCOS 50mm.ROTURA_LBN,0
650053809,INVERSOR ROTURA_LBN++,0
650053808,PILASTRA VENTANA ROTURA_LBN++,0
650053804,HOJA VENTANA ROTURA_LBN++,0
650053803,MARCO SOLAPE ROTURA_LBN++,0
650053801,MARCO VENTANA ROTURA_LBN++,0
650044376,FORRAMARCO 36mm.DISE�O_BEB++,0
650043842,HOJA PTA.APER.EXT.ROTURA_BEB++,0
650043841,HOJA PUERTA ROTURA_BEB++,0
650043840,MARCO PUERTA ROTURA_BEB++,0
650043825,PILASTRA PUERTA ROTURA_BEB++,0
650043815,CANTONERA ABISAG.ROTURA_BEB,0
650043812,HOJA VENTANA S/JUNQ.ROTURA_BEB++,0
650043811,UNION MARCOS 50mm.ROTURA_BEB,0
650043809,INVERSOR ROTURA_BEB++,0
650043808,PILASTRA VENTANA ROTURA_BEB++,0
650043804,HOJA VENTANA ROTURA_BEB++,0
650043803,MARCO SOLAPE ROTURA_BEB++,0
650043801,MARCO VENTANA ROTURA_BEB++,0
650034376,FORRAMARCO 36mm.DISE�O_OEB++,0
650033842,HOJA PTA.APER.EXT.ROTURA_OEB++,0
650033841,HOJA PUERTA ROTURA_OEB++,0
650033825,PILASTRA PUERTA ROTURA_OEB++,0
650033809,INVERSOR ROTURA_OEB++,0
650033808,PILASTRA VENTANA ROTURA_OEB++,0
650033804,HOJA VENTANA ROTURA_OEB++,0
650033801,MARCO VENTANA ROTURA_OEB++,0
650024376,FORRAMARCO 36mm.DISE�O_PEB++,0
650023842,HOJA PTA.APER.EXT.ROTURA_PEB++,0
650023841,HOJA PUERTA ROTURA_PEB++,0
650023840,MARCO PUERTA ROTURA_PEB++,0
650023825,PILASTRA PUERTA ROTURA_PEB++,0
650023811,UNION MARCOS 50mm.ROTURA_PEB,0
650023809,INVERSOR ROTURA_PEB++,0
650023808,PILASTRA VENTANA ROTURA_PEB++,0
650023804,HOJA VENTANA ROTURA_PEB++,0
650023801,MARCO VENTANA ROTURA_PEB++,0
650013841,HOJA PUERTA ROTURA_PMD++,0
650013840,MARCO PUERTA ROTURA_PMD++,0
650013825,PILASTRA PUERTA ROTURA_PMD++,0
650013809,INVERSOR ROTURA_PMD++,0
650013804,HOJA VENTANA ROTURA_PMD++,0
650013801,MARCO VENTANA ROTURA_PMD++,0
650004376,FORRAMARCO 36mm.DISE�O_CSA++,0
650003843,ZOCALO CENTRAL 140mm_CSA++,0
650003842,HOJA PTA.APER.EXT.ROTURA_CSA++,0
650003841,HOJA PUERTA ROTURA_CSA++,0
650003840,MARCO PUERTA ROTURA_CSA++,0
650003825,PILASTRA PUERTA ROTURA_CSA++,0
